"","...1","followup_fallstudyhours","followup_getwritinghelp","followup_metwithinstructor","followup_metwithfreetutor","followup_imptodowellatuoft","followup_depressed","followup_stressed","fathers_education","mothers_education","fall_meangrade_year1","exp_gradschl","agreeableness2","agreeableness","extraversion2","extraversion","study_habit"
"1",186,20,2,2,0,7,2,1,1,1,77,1,-0.517853319644928,0,-2.75106739997864,0,4
"2",830,12,2,0,2,4,2,1,0,0,73.6666641235352,0,1.21649813652039,1,-2.75106739997864,0,4
"3",837,21,3,0,0,6,3,3,1,5,70,0,0.831086695194244,1,-2.75106739997864,0,3
"4",952,57,2,0,0,7,3,2,1,1,81,1,1.40920376777649,1,-2.75106739997864,0,2
"5",261,20,1,0,0,7,2,3,6,6,81.5,1,1.79461526870728,1,-2.59128046035767,0,1
"6",451,40,2,1,1,7,2,2,7,6,83.6666641235352,1,-0.132441878318787,0,-2.59128046035767,0,4
"7",720,8,3,0,0,5,1,2,7,7,89,0,1.21649813652039,1,-2.59128046035767,0,3
"8",498,20,4,0,1,6,1,3,7,7,88,0,1.02379238605499,1,-2.43149375915527,0,5
"9",567,12,2,0,1,5,2,3,6,6,90.5,1,-1.67408752441406,0,-2.43149375915527,0,3
"10",621,12,5,0,5,7,1,2,7,6,74,0,-0.517853319644928,0,-2.43149375915527,0,10
"11",668,6,4,5,2,5,2,2,6,5,85,1,1.02379238605499,1,-2.43149375915527,0,11
"12",722,3,5,0,0,5,0,0,6,7,80,1,-1.86679327487946,0,-2.43149375915527,0,5
"13",298,4,3,0,0,5,1,1,7,7,92.5,1,0.252969533205032,1,-2.2717068195343,0,3
"14",341,10,5,0,0,7,3,2,3,1,62,0,0.0602638274431229,1,-2.2717068195343,0,5
"15",429,40,4,5,0,7,1,1,5,5,68,1,-0.710559010505676,0,-2.2717068195343,0,9
"16",723,27,2,0,0,5,3,3,6,6,70.5,1,0.445675253868103,1,-2.2717068195343,0,2
"17",845,4,5,1,0,5,1,0,7,6,60,1,0.0602638274431229,1,-2.2717068195343,0,6
"18",855,9,4,1,0,6,2,3,7,6,72.5,0,1.02379238605499,1,-2.2717068195343,0,5
"19",905,1,4,2,0,4,1,0,7,6,79.5,0,1.02379238605499,1,-2.2717068195343,0,6
"20",8,3,4,1,0,4,2,3,2,1,29.5,1,-1.28867614269257,0,-2.11192011833191,0,5
"21",89,8,5,5,2,6,2,3,2,2,50,0,0.638380944728851,1,-2.11192011833191,0,12
"22",208,2,3,1,0,6,3,2,7,8,88.5,0,0.831086695194244,1,-2.11192011833191,0,4
"23",242,35,2,0,1,7,2,3,6,6,73.5,0,0.0602638274431229,1,-2.11192011833191,0,3
"24",293,10,2,0,0,7,0,1,7,6,82.3333358764648,1,1.40920376777649,1,-2.11192011833191,0,2
"25",358,2,1,0,0,7,3,3,2,2,72,1,-0.325147598981857,0,-2.11192011833191,0,1
"26",704,7,1,0,0,6,0,2,4,2,81.6666641235352,0,0.252969533205032,1,-2.11192011833191,0,1
"27",770,5,4,0,0,7,2,2,1,0,69,0,1.40920376777649,1,-2.11192011833191,0,4
"28",779,7,4,1,0,7,1,2,6,5,79,1,-1.67408752441406,0,-2.11192011833191,0,5
"29",1019,4,3,1,2,6,2,1,6,5,80,1,0.831086695194244,1,-2.11192011833191,0,6
"30",4,11,4,5,0,6,1,2,6,6,86,1,0.0602638274431229,1,-1.95213317871094,0,9
"31",29,9,4,2,2,4,2,2,6,5,55,0,0.252969533205032,1,-1.95213317871094,0,8
"32",49,5,2,5,1,7,2,3,6,2,79,1,0.831086695194244,1,-1.95213317871094,0,8
"33",256,15,2,0,0,6,1,1,2,2,87.5,0,0.638380944728851,1,-1.95213317871094,0,2
"34",383,6,3,0,2,5,1,1,6,7,68,1,-0.517853319644928,0,-1.95213317871094,0,5
"35",401,35,3,0,2,6,2,2,6,6,89.6666641235352,1,-0.517853319644928,0,-1.95213317871094,0,5
"36",479,20,3,1,1,7,3,3,6,6,82.75,0,0.638380944728851,1,-1.95213317871094,0,5
"37",642,4,2,1,0,7,1,3,5,5,61,1,1.02379238605499,1,-1.95213317871094,0,3
"38",673,15,2,0,0,6,1,2,2,2,80,0,1.79461526870728,1,-1.95213317871094,0,2
"39",814,3,3,2,2,6,1,2,2,2,65.6666641235352,1,1.21649813652039,1,-1.95213317871094,0,7
"40",891,1,3,1,0,7,2,1,2,5,73,1,1.60190951824188,1,-1.95213317871094,0,4
"41",9,3,2,2,0,5,2,3,8,7,54,1,1.79461526870728,1,-1.79234635829926,0,4
"42",66,1,4,0,0,4,1,2,1,1,67.5,0,1.02379238605499,1,-1.79234635829926,0,4
"43",81,5,5,5,8,5,1,1,6,6,59,1,-1.28867614269257,0,-1.79234635829926,0,18
"44",144,2,2,2,1,7,3,2,8,7,81.5,1,0.445675253868103,1,-1.79234635829926,0,5
"45",223,8,5,1,2,5,1,2,0,5,77,0,1.02379238605499,1,-1.79234635829926,0,8
"46",295,20,2,5,5,7,1,2,5,5,72,1,0.252969533205032,1,-1.79234635829926,0,12
"47",302,25,3,0,1,7,3,2,0,6,60.5999984741211,1,0.831086695194244,1,-1.79234635829926,0,4
"48",412,24,6,0,1,7,3,3,6,7,77.5,1,0.445675253868103,1,-1.79234635829926,0,7
"49",430,13,5,2,2,7,1,1,7,6,82,1,1.60190951824188,1,-1.79234635829926,0,9
"50",452,30,2,2,8,7,2,3,6,7,79.3333358764648,1,-0.903264701366425,0,-1.79234635829926,0,12
"51",470,12,2,0,1,5,1,2,0,0,63.75,0,0.0602638274431229,1,-1.79234635829926,0,3
"52",570,35,5,2,8,7,1,3,6,6,78.6666641235352,0,0.638380944728851,1,-1.79234635829926,0,15
"53",610,8,4,0,0,7,3,3,7,6,67.3333358764648,1,-0.710559010505676,0,-1.79234635829926,0,4
"54",692,15,6,0,0,7,1,1,6,6,76,1,0.638380944728851,1,-1.79234635829926,0,6
"55",699,15,4,0,0,6,1,2,5,5,67,1,-0.903264701366425,0,-1.79234635829926,0,4
"56",806,3,4,1,0,7,1,2,7,6,70.5,1,1.02379238605499,1,-1.79234635829926,0,5
"57",1008,12,4,2,2,6,1,1,2,3,58.25,0,1.21649813652039,1,-1.79234635829926,0,8
"58",1036,40,2,0,0,6,1,0,6,6,69.5,0,1.21649813652039,1,-1.79234635829926,0,2
"59",53,20,3,0,0,6,0,1,0,0,71,1,0.252969533205032,1,-1.63255953788757,0,3
"60",125,2,4,1,2,6,2,2,7,7,14,1,0.638380944728851,1,-1.63255953788757,0,7
"61",141,20,2,0,0,6,0,1,6,5,81.5999984741211,1,-0.325147598981857,0,-1.63255953788757,0,2
"62",146,2,5,1,1,5,1,1,7,6,75.25,1,-0.132441878318787,0,-1.63255953788757,0,7
"63",183,4,2,1,0,5,3,2,5,5,66.5,0,0.831086695194244,1,-1.63255953788757,0,3
"64",221,4,6,0,0,7,1,2,6,6,78,1,0.252969533205032,1,-1.63255953788757,0,6
"65",232,20,4,0,0,4,2,1,7,6,85,1,-1.09597039222717,0,-1.63255953788757,0,4
"66",282,5,6,1,1,7,1,1,2,2,69.5,1,1.40920376777649,1,-1.63255953788757,0,8
"67",315,5,5,2,5,6,1,1,7,6,72,1,0.445675253868103,1,-1.63255953788757,0,12
"68",323,50,4,2,8,7,3,3,4,2,69,1,1.02379238605499,1,-1.63255953788757,0,14
"69",326,7,2,2,0,6,1,1,6,5,78.3333358764648,1,-1.28867614269257,0,-1.63255953788757,0,4
"70",342,15,2,1,0,7,2,3,8,7,76,1,1.02379238605499,1,-1.63255953788757,0,3
"71",379,30,5,2,2,7,1,1,7,5,85,1,-0.325147598981857,0,-1.63255953788757,0,9
"72",402,39,4,1,0,6,0,0,0,0,81.5,1,1.98732089996338,1,-1.63255953788757,0,5
"73",497,9,4,0,0,7,1,1,7,5,89,0,-3.02302742004395,0,-1.63255953788757,0,4
"74",526,7,3,1,5,7,1,2,6,5,79.5,0,0.831086695194244,1,-1.63255953788757,0,9
"75",597,10,4,0,0,6,2,2,8,8,87,1,-0.710559010505676,0,-1.63255953788757,0,4
"76",613,5,3,2,0,6,1,1,0,0,92,0,0.252969533205032,1,-1.63255953788757,0,5
"77",700,2,5,1,1,6,3,1,0,7,92.5,0,1.21649813652039,1,-1.63255953788757,0,7
"78",703,5,4,5,0,7,1,3,6,6,80.75,1,0.445675253868103,1,-1.63255953788757,0,9
"79",717,1,1,0,2,7,3,3,7,7,69.6666641235352,1,-0.517853319644928,0,-1.63255953788757,0,3
"80",735,16,6,2,0,7,0,2,2,2,67,1,1.02379238605499,1,-1.63255953788757,0,8
"81",742,2,3,0,0,6,2,3,6,6,65,0,1.02379238605499,1,-1.63255953788757,0,3
"82",954,12,1,1,2,5,1,3,6,6,62,0,1.21649813652039,1,-1.63255953788757,0,4
"83",14,20,4,1,0,6,2,2,7,7,82.3333358764648,0,0.252969533205032,1,-1.47277271747589,0,5
"84",15,3,1,0,0,4,0,1,4,2,84.3333358764648,0,1.02379238605499,1,-1.47277271747589,0,1
"85",74,30,6,2,0,7,0,3,0,0,65.75,0,0.831086695194244,1,-1.47277271747589,0,8
"86",94,24,2,0,0,6,2,1,6,7,85,1,1.79461526870728,1,-1.47277271747589,0,2
"87",119,57,5,2,2,6,1,0,6,6,86.25,1,0.638380944728851,1,-1.47277271747589,0,9
"88",147,9,5,2,5,7,2,3,7,6,75.5,1,1.21649813652039,1,-1.47277271747589,0,12
"89",235,20,5,0,0,5,2,3,6,5,68,1,1.02379238605499,1,-1.47277271747589,0,5
"90",354,26,5,1,0,7,0,3,6,6,85,0,0.252969533205032,1,-1.47277271747589,0,6
"91",371,15,2,0,0,6,1,2,6,7,67.3333358764648,0,0.831086695194244,1,-1.47277271747589,0,2
"92",454,1,4,0,0,2,3,2,5,5,79,1,0.445675253868103,1,-1.47277271747589,0,4
"93",473,4,3,1,0,6,2,2,5,5,73,1,-1.28867614269257,0,-1.47277271747589,0,4
"94",593,2,3,0,0,6,3,2,7,3,71,1,1.60190951824188,1,-1.47277271747589,0,3
